E /V,I /uA,I /uA,I /uA,I /uA,I /uA,I /uA
-0.06,24.095,11.961,10.412,9.722,9.246,9.093
-0.065,20.429,8.571,7.037,6.362,5.887,5.733
-0.07,16.302,4.736,3.233,2.512,2.052,1.914
-0.075,11.777,0.487,-1.001,-1.707,-2.151,-2.32
-0.08,6.838,-4.161,-5.649,-6.37,-6.799,-6.984
-0.085,1.469,-9.269,-10.726,-11.447,-11.892,-12.076
-0.09,-4.192,-14.746,-16.187,-16.908,-17.338,-17.507
-0.095,-10.266,-20.544,-22.001,-22.722,-23.136,-23.32
-0.1,-16.632,-26.726,-28.183,-28.889,-29.288,-29.502
-0.105,-23.228,-33.199,-34.611,-35.316,-35.684,-35.884
-0.11,-30.07,-39.857,-41.268,-41.943,-42.311,-42.495
-0.115,-37.05,-46.714,-48.11,-48.785,-49.122,-49.306
-0.12,-44.121,-53.709,-55.105,-55.734,-56.04,-56.224
-0.125,-51.101,-60.688,-62.084,-62.683,-62.943,-63.127
-0.13,-58.019,-67.515,-68.926,-69.478,-69.723,-69.877
-0.135,-64.784,-74.31,-75.721,-76.258,-76.442,-76.611
-0.14,-71.288,-80.845,-82.287,-82.747,-82.916,-83.038
-0.145,-77.424,-87.073,-88.545,-88.914,-89.036,-89.159
-0.15,-83.1,-92.917,-94.359,-94.681,-94.743,-94.85
-0.155,-88.269,-98.24,-99.698,-99.958,-99.943,-100.02
-0.16,-92.795,-102.95,-104.468,-104.606,-104.514,-104.576
-0.165,-96.538,-106.953,-108.472,-108.503,-108.364,-108.411
-0.17,-99.513,-110.19,-111.693,-111.601,-111.402,-111.386
-0.175,-101.569,-112.491,-114.025,-113.825,-113.534,-113.473
-0.18,-102.658,-113.902,-115.451,-115.114,-114.731,-114.685
-0.185,-102.857,-114.332,-115.912,-115.467,-115.007,-114.899
-0.19,-102.044,-113.795,-115.329,-114.792,-114.301,-114.163
-0.195,-100.51,-112.46,-114.01,-113.381,-112.844,-112.69
-0.2,-98.21,-110.343,-111.923,-111.202,-110.681,-110.527
-0.205,-95.387,-107.659,-109.239,-108.487,-107.92,-107.782
-0.21,-92.15,-104.484,-106.079,-105.297,-104.744,-104.545
-0.215,-88.73,-101.001,-102.597,-101.845,-101.247,-101.078
-0.22,-85.171,-97.366,-98.977,-98.21,-97.673,-97.519
-0.225,-81.643,-93.715,-95.31,-94.605,-94.098,-93.945
-0.23,-78.222,-90.141,-91.751,-91.077,-90.601,-90.463
-0.235,-74.939,-86.705,-88.331,-87.671,-87.242,-87.119
-0.24,-71.81,-83.437,-85.063,-84.45,-84.051,-83.928
-0.245,-68.88,-80.339,-81.949,-81.382,-81.029,-80.937
-0.25,-66.134,-77.439,-79.05,-78.529,-78.206,-78.114
-0.255,-63.557,-74.694,-76.32,-75.813,-75.537,-75.461
-0.26,-61.164,-72.163,-73.773,-73.298,-73.037,-72.976
-0.265,-58.909,-69.785,-71.365,-70.935,-70.705,-70.644
-0.27,-56.823,-67.53,-69.141,-68.742,-68.496,-68.466
-0.275,-54.859,-65.459,-67.054,-66.656,-66.456,-66.441
-0.28,-53.018,-63.511,-65.091,-64.707,-64.539,-64.508
-0.285,-51.3,-61.67,-63.25,-62.897,-62.759,-62.729
-0.29,-49.69,-59.937,-61.517,-61.195,-61.041,-61.026
-0.295,-48.186,-58.311,-59.891,-59.569,-59.43,-59.43
-0.3,-46.775,-56.792,-58.341,-58.035,-57.927,-57.927
-0.305,-45.441,-55.35,-56.899,-56.608,-56.501,-56.501
-0.31,-44.183,-53.969,-55.534,-55.258,-55.151,-55.151
-0.315,-42.986,-52.681,-54.23,-53.954,-53.877,-53.893
-0.32,-41.836,-51.454,-52.988,-52.727,-52.681,-52.681
-0.325,-40.777,-50.303,-51.807,-51.561,-51.515,-51.515
-0.33,-39.765,-49.183,-50.702,-50.472,-50.411,-50.441
-0.335,-38.814,-48.14,-49.659,-49.414,-49.368,-49.398
-0.34,-37.878,-47.159,-48.647,-48.416,-48.386,-48.401
-0.345,-37.019,-46.208,-47.68,-47.481,-47.45,-47.465
-0.35,-36.191,-45.272,-46.775,-46.56,-46.53,-46.576
-0.355,-35.362,-44.382,-45.885,-45.671,-45.64,-45.701
-0.36,-34.611,-43.554,-45.026,-44.827,-44.842,-44.873
-0.365,-33.874,-42.756,-44.198,-44.014,-44.029,-44.06
-0.37,-33.215,-42.004,-43.446,-43.278,-43.262,-43.308
-0.375,-32.509,-41.222,-42.695,-42.511,-42.511,-42.557
-0.38,-31.865,-40.532,-41.974,-41.79,-41.805,-41.851
-0.385,-31.267,-39.841,-41.283,-41.099,-41.115,-41.161
-0.39,-30.668,-39.182,-40.624,-40.455,-40.455,-40.516
-0.395,-30.101,-38.538,-39.98,-39.826,-39.826,-39.888
-0.4,-29.548,-37.924,-39.351,-39.182,-39.228,-39.274
-0.405,-29.027,-37.341,-38.752,-38.599,-38.63,-38.676
-0.41,-28.521,-36.758,-38.169,-38.031,-38.047,-38.108
-0.415,-28.03,-36.206,-37.617,-37.464,-37.494,-37.571
-0.42,-27.539,-35.669,-37.08,-36.927,-36.973,-37.034
-0.425,-27.094,-35.163,-36.559,-36.405,-36.451,-36.497
-0.43,-26.665,-34.641,-36.053,-35.899,-35.945,-36.007
-0.435,-26.22,-34.166,-35.546,-35.408,-35.439,-35.516
-0.44,-25.806,-33.675,-35.071,-34.933,-34.979,-35.04
-0.445,-25.407,-33.23,-34.595,-34.473,-34.519,-34.58
-0.45,-25.023,-32.785,-34.15,-34.028,-34.074,-34.15
-0.455,-24.64,-32.356,-33.706,-33.598,-33.629,-33.721
-0.46,-24.272,-31.941,-33.291,-33.169,-33.23,-33.291
-0.465,-23.919,-31.527,-32.877,-32.754,-32.816,-32.893
-0.47,-23.581,-31.128,-32.478,-32.356,-32.402,-32.494
-0.475,-23.244,-30.73,-32.08,-31.957,-32.018,-32.11
-0.48,-22.906,-30.346,-31.696,-31.573,-31.65,-31.727
-0.485,-22.6,-29.993,-31.328,-31.22,-31.282,-31.359
-0.49,-22.293,-29.625,-30.96,-30.868,-30.929,-31.006
-0.495,-22.001,-29.272,-30.607,-30.5,-30.576,-30.684
-0.5,-21.694,-28.95,-30.269,-30.162,-30.239,-30.331
-0.495,-20.881,-28.06,-29.38,-29.272,-29.349,-29.426
-0.49,-20.268,-27.386,-28.72,-28.613,-28.674,-28.766
-0.485,-19.746,-26.818,-28.153,-28.045,-28.107,-28.214
-0.48,-19.286,-26.312,-27.631,-27.508,-27.6,-27.692
-0.475,-18.857,-25.852,-27.155,-27.048,-27.14,-27.217
-0.47,-18.473,-25.391,-26.711,-26.603,-26.68,-26.787
-0.465,-18.09,-24.977,-26.281,-26.189,-26.25,-26.373
-0.46,-17.737,-24.578,-25.882,-25.775,-25.867,-25.974
-0.455,-17.415,-24.21,-25.483,-25.391,-25.483,-25.575
-0.45,-17.093,-23.827,-25.131,-25.039,-25.115,-25.223
-0.445,-16.786,-23.474,-24.778,-24.686,-24.747,-24.87
-0.44,-16.494,-23.152,-24.456,-24.333,-24.425,-24.532
-0.435,-16.218,-22.814,-24.103,-24.011,-24.087,-24.195
-0.43,-15.957,-22.507,-23.781,-23.704,-23.781,-23.888
-0.425,-15.681,-22.17,-23.459,-23.382,-23.443,-23.581
-0.42,-15.42,-21.863,-23.152,-23.06,-23.152,-23.29
-0.415,-15.16,-21.572,-22.83,-22.768,-22.845,-22.983
-0.41,-14.914,-21.28,-22.553,-22.477,-22.569,-22.692
-0.405,-14.669,-20.989,-22.277,-22.185,-22.262,-22.415
-0.4,-14.439,-20.728,-21.986,-21.909,-22.001,-22.139
-0.395,-14.209,-20.452,-21.71,-21.633,-21.725,-21.863
